imobiliaria,link,data_coleta,titulo,endereco,bairro,tipo_locacao,preco_aluguel,preco_condominio,preco_iptu,quartos,vagas_garagem,area,suites
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16027001/apartamento-2-quartos-jose-ferroni-novo-mundo-curitiba/,2023-11-05,Apartamento 2 Quartos Novo Mundo 45m²,"Rua João Bonat, 860, Novo Mundo - Curitiba/Pr",Novo Mundo,Aluguel,1300,550,39,2,1,45m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16607001/apartamento-2-quartos-residencial-canelli-novo-mundo-curitiba/,2023-11-05,Apartamento 2 Quartos Novo Mundo 42m²,"Rua Carolina Castelli, 694, Novo Mundo - Curitiba/Pr",Novo Mundo,Aluguel,1350,482,39,2,1,42m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/15224001/apartamento-2-quartos-vila-bela-l-novo-mundo-curitiba/,2023-11-05,Apartamento 2 Quartos Novo Mundo 67m²,"Rua Deputado Waldemiro Pedroso, 1063, Novo Mundo - Curitiba/Pr",Novo Mundo,Aluguel,1500,700,59,2,1,67m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/23604001/apartamento-3-quartos-iguaçu-v-portao-curitiba/,2023-11-05,Apartamento 3 Quartos Portao 40m²,"Rua Miguel Abrao, 610, Portao - Curitiba/Pr",Portao,Aluguel,1200,450,42,3,1,40m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/11722002/apartamento-3-quartos-niepce-da-silva-portao-curitiba/,2023-11-05,Apartamento 3 Quartos Portao 78m²,"Rua Engenheiro Niepce Da Silva, 510, Portao - Curitiba/Pr",Portao,Aluguel,1500,550,56,3,1,78m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16475001/apartamento-2-quartos-zodiaco-portao-curitiba/,2023-11-05,Apartamento 2 Quartos Portão 71m²,"Avenida República Argentina, 2777, Portão - Curitiba/Pr",Portão,Aluguel,1800,628,109,2,1,71m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16556001/apartamento-2-quartos-portao-curitiba/,2023-11-05,Apartamento 2 Quartos Portão 49m²,"Rua Álvaro Andrade, 225, Portão - Curitiba/Pr",Portão,Aluguel,2490,523,96,2,1,49m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/13603001/apartamento-2-quartos-belmont-portao-curitiba/,2023-11-05,Apartamento 2 Quartos Portao 53m²,"Rua Antonio Pietruza, 211, Portao - Curitiba/Pr",Portao,Aluguel,1650,650,75,2,1,53m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16592001/apartamento-2-quartos-edificio-michelle-portao-curitiba/,2023-11-05,Apartamento 2 Quartos Portão 53m²,"Rua Zacarias De Paula Neves, 65, Portão - Curitiba/Pr",Portão,Aluguel,1480,497,74,2,1,53m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/42292001/apartamento-3-quartos-valparaiso-portao-curitiba/,2023-11-05,Apartamento 3 Quartos Portao 124m²,"Rua Engenheiro Arthur Bettes, 58, Portao - Curitiba/Pr",Portao,Aluguel,2200,900,151,3,1,124m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/14480001/apartamento-2-quartos-spazio-castel-di-bettega-portao-curitiba/,2023-11-05,Apartamento 2 Quartos Portao 55m²,"Rua João Bettega, 644, Portao - Curitiba/Pr",Portao,Aluguel,1500,450,53,2,1,55m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/10518001/apartamento-1-quarto-sessimbra-portao-curitiba/,2023-11-05,Apartamento 1 Quarto Portao 32m²,"Rua Arion Niepce Da Silva, 261, Portao - Curitiba/Pr",Portao,Aluguel,1200,400,45,1,0,32m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/13239001/apartamento-2-quartos-regents-park-portao-curitiba/,2023-11-05,Apartamento 2 Quartos Portão 83m²,"Rua Eduardo Carlos Pereira, 4049, Portão - Curitiba/Pr",Portão,Aluguel,2500,500,133,2,1,83m²,1
