imobiliaria,link,data_coleta,titulo,endereco,bairro,tipo_locacao,preco_aluguel,preco_condominio,preco_iptu,quartos,vagas_garagem,area,suites,data_entrada,data_saida,anuncio
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/15488001/apartamento-2-quartos-roma-rebouças-curitiba/,2023-11-28,Apartamento 2 Quartos Rebouças 43m²,"Rua Brasílio Itiberê, 2023, Rebouças - Curitiba/Pr",Rebouças,Aluguel,1500,400,56,2,1,43m²,0,2023-11-05,2023-11-28,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16149001/apartamento-2-quartos-marechal-candido-rondon-cidade-industrial-curitiba/,2023-11-28,Apartamento 2 Quartos Cidade Industrial 41m²,"Rua Professor Algacyr Munhoz Mader, 2411, Cidade Industrial - Curitiba/Pr",Cidade Industrial,Aluguel,1100,350,25,2,1,41m²,0,2023-11-27,2023-11-28,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/92290001/apartamento-2-quartos-botanica-cristo-rei-curitiba/,2023-11-28,Apartamento 2 Quartos Cristo Rei 113m²,"Rua Coronel Pedro Scherer Sobrinho, 152, Cristo Rei - Curitiba/Pr",Cristo Rei,Aluguel,4800,700,332,2,2,113m²,2,2023-11-05,2023-11-28,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/15488001/apartamento-2-quartos-roma-rebouças-curitiba/,2023-11-28,Apartamento 2 Quartos Rebouças 43m²,"Rua Brasílio Itiberê, 2023, Rebouças - Curitiba/Pr",Rebouças,Aluguel,1500,400,56,2,1,43m²,0,2023-11-05,2023-11-28,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/10424002/apartamento-2-quartos-posiville-iii-cidade-industrial-curitiba/,2023-11-29,Apartamento 2 Quartos Cidade Industrial 52m²,"Rua Casemiro Augusto Rodacki, 341, Cidade Industrial - Curitiba/Pr",Cidade Industrial,Aluguel,1650,450,81,2,1,52m²,1,2023-11-05,2023-11-29,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/15224001/apartamento-2-quartos-vila-bela-l-novo-mundo-curitiba/,2023-11-29,Apartamento 2 Quartos Novo Mundo 67m²,"Rua Deputado Waldemiro Pedroso, 1063, Novo Mundo - Curitiba/Pr",Novo Mundo,Aluguel,1500,700,59,2,1,67m²,1,2023-11-05,2023-11-29,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/14999001/apartamento-2-quartos-anthurium-agua-verde-curitiba/,2023-12-01,Apartamento 2 Quartos Agua Verde 61m²,"Rua Professor Luiz Cesar, 837, Agua Verde - Curitiba/Pr",Agua Verde,Aluguel,1500,720,77,2,1,61m²,0,2023-11-05,2023-12-01,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/02566002/apartamento-3-quartos-independencia-(bl-marina)-alto-da-rua-xv-curitiba/,2023-12-01,Apartamento 3 Quartos Alto Da Rua Xv 130m²,"Avenida Senador Souza Naves, 550, Alto Da Rua Xv - Curitiba/Pr",Alto Da Rua Xv,Aluguel,1500,400,109,3,1,130m²,0,2023-11-24,2023-12-01,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/12996001/apartamento-1-quarto-mariana-rebouças-curitiba/,2023-12-01,Apartamento 1 Quarto Rebouças 44m²,"Rua Rockefeller, 858, Rebouças - Curitiba/Pr",Rebouças,Aluguel,1300,350,53,1,0,44m²,0,2023-11-05,2023-12-01,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/13320002/apartamento-3-quartos-residencial-henrique-1-xaxim-curitiba/,2023-12-03,Apartamento 3 Quartos Xaxim 73m²,"Rua Waldemar Loureiro Campos, 3751, Xaxim - Curitiba/Pr",Xaxim,Aluguel,1500,480,99,3,1,73m²,1,2023-11-27,2023-12-03,Inativo
